cat_name,cat_url,sub_cat_name,sub_cat_url
collection,https://www.kaidee.com/c103-collection/,ของเก่า ของโบราณ,https://www.kaidee.com/c237-collection-antique_vintage/
collection,https://www.kaidee.com/c103-collection/,งานศิลปะ โมเดล,https://www.kaidee.com/c238-collection-art_model/
collection,https://www.kaidee.com/c103-collection/,ของสะสมอื่นๆ,https://www.kaidee.com/c239-collection-others_collectible/
cameras,https://www.kaidee.com/c28-cameras/,กล้องดิจิตอล,https://www.kaidee.com/c86-cameras-digital_camera/
cameras,https://www.kaidee.com/c28-cameras/,กล้องวิดีโอ,https://www.kaidee.com/c135-cameras-video_camera/
cameras,https://www.kaidee.com/c28-cameras/,กล้องอื่นๆ,https://www.kaidee.com/c136-cameras-others_camera/
cameras,https://www.kaidee.com/c28-cameras/,เลนส์,https://www.kaidee.com/c87-cameras-lens/
cameras,https://www.kaidee.com/c28-cameras/,อุปกรณ์เสริมกล้อง อื่น ๆ,https://www.kaidee.com/c88-cameras-other_camera_accessories/
electric,https://www.kaidee.com/c70-electric/,แอร์,https://www.kaidee.com/c75-electric-airconditioner/
electric,https://www.kaidee.com/c70-electric/,ตู้เย็น,https://www.kaidee.com/c76-electric-refrigerator/
electric,https://www.kaidee.com/c70-electric/,ทีวี โฮมเธียเตอร์,https://www.kaidee.com/c77-electric-tv_hometheater/
electric,https://www.kaidee.com/c70-electric/,เครื่องซักผ้า,https://www.kaidee.com/c78-electric-washingmachine/
electric,https://www.kaidee.com/c70-electric/,เคเบิ้ล จานดาวเทียม,https://www.kaidee.com/c79-electric-cable_satellite/
electric,https://www.kaidee.com/c70-electric/,เครื่องใช้ไฟฟ้าอื่น,https://www.kaidee.com/c80-electric-other_electric/
game,https://www.kaidee.com/c31-game/,เครื่องเกมส์,https://www.kaidee.com/c176-game-game_console/
game,https://www.kaidee.com/c31-game/,อุปกรณ์เกมส์อื่นๆ,https://www.kaidee.com/c177-game-games_cd/
game,https://www.kaidee.com/c31-game/,บอร์ดเกมส์,https://www.kaidee.com/c301-game-board_games/
pet,https://www.kaidee.com/c62-pet/,สุนัข,https://www.kaidee.com/c220-pet-dog/
pet,https://www.kaidee.com/c62-pet/,แมว,https://www.kaidee.com/c221-pet-cat/
pet,https://www.kaidee.com/c62-pet/,ปลา,https://www.kaidee.com/c222-pet-fish/
pet,https://www.kaidee.com/c62-pet/,หนู,https://www.kaidee.com/c223-pet-mouse/
pet,https://www.kaidee.com/c62-pet/,นก,https://www.kaidee.com/c224-pet-bird/
pet,https://www.kaidee.com/c62-pet/,ไก่,https://www.kaidee.com/c225-pet-chicken/
pet,https://www.kaidee.com/c62-pet/,กระต่าย,https://www.kaidee.com/c226-pet-rabbit/
pet,https://www.kaidee.com/c62-pet/,สัตว์เลี้ยงอื่นๆ,https://www.kaidee.com/c227-pet-other_pets/
pet,https://www.kaidee.com/c62-pet/,อุปกรณ์สำหรับสัตว์เลี้ยง,https://www.kaidee.com/c228-pet-pet_accessories/
pet,https://www.kaidee.com/c62-pet/,อาหารสัตว์,https://www.kaidee.com/c229-pet-pet_food/
lifestyle,https://www.kaidee.com/c10-lifestyle/,หนังสือ,https://www.kaidee.com/c59-lifestyle-book/
lifestyle,https://www.kaidee.com/c10-lifestyle/,หนังและเพลง,https://www.kaidee.com/c58-lifestyle-movie_song/
lifestyle,https://www.kaidee.com/c10-lifestyle/,กิ๊ฟช็อป งานฝีมือ,https://www.kaidee.com/c65-lifestyle-giftshop/
lifestyle,https://www.kaidee.com/c10-lifestyle/,ของเล่น,https://www.kaidee.com/c64-lifestyle-toy/
lifestyle,https://www.kaidee.com/c10-lifestyle/,บัตรเข้าชม คูปอง,https://www.kaidee.com/c66-lifestyle-voucher/
job_business_service,https://www.kaidee.com/c7-job_business_service/,อุตสาหกรรม,https://www.kaidee.com/c40-job_business_service-industry/
job_business_service,https://www.kaidee.com/c7-job_business_service/,ธุรกิจอาหาร,https://www.kaidee.com/c243-job_business_service-food/
job_business_service,https://www.kaidee.com/c7-job_business_service/,แฟรนไชส์,https://www.kaidee.com/c41-job_business_service-franchise/
job_business_service,https://www.kaidee.com/c7-job_business_service/,ขาย เซ้งกิจการ,https://www.kaidee.com/c244-job_business_service-business_for_sale/
job_business_service,https://www.kaidee.com/c7-job_business_service/,ธุรกิจอื่น ๆ,https://www.kaidee.com/c245-job_business_service-others_business/
job_business_service,https://www.kaidee.com/c7-job_business_service/,อุปกรณ์สำนักงาน,https://www.kaidee.com/c43-job_business_service-office_equipment/
job_business_service,https://www.kaidee.com/c7-job_business_service/,งาน,https://www.kaidee.com/c39-job_business_service-job/
business_service,https://www.kaidee.com/c45-business_service/,บริการด้านยานยนต์,https://www.kaidee.com/c14-business_service-auto_service/
business_service,https://www.kaidee.com/c45-business_service/,บริการบ้านและสวน,https://www.kaidee.com/c24-business_service-home_care/
business_service,https://www.kaidee.com/c45-business_service/,บริการสำหรับสัตว์เลี้ยง,https://www.kaidee.com/c184-business_service-animal_service/
business_service,https://www.kaidee.com/c45-business_service/,ซ่อมและบริการสินค้าไอที,https://www.kaidee.com/c32-business_service-it_service/
business_service,https://www.kaidee.com/c45-business_service/,ซ่อมและบริการสินค้าแฟชั่น,https://www.kaidee.com/c255-business_service-fashion_service/
business_service,https://www.kaidee.com/c45-business_service/,บริการด้านสุขภาพและความงาม,https://www.kaidee.com/c256-business_service-beauty_service/
