sub_cat_name,page,condition,listing_name,listing_price,listing_url,listing_region,listing_locality,listing_lat,listing_lon
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หมอนเพื่อสุขภาพ,900,https://www.kaidee.com/product-344848688,ระยอง,เมืองระยอง,12.6682344,101.275314184
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หน้ากากกันฝุ่น pm 2.5,600,https://www.kaidee.com/product-344848319,กรุงเทพมหานคร,คลองเตย,13.7158569,100.5689948
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หม้อฆ่าเชื้อautoclab,12000,https://www.kaidee.com/product-344848090,สมุทรสาคร,เมืองสมุทรสาคร,13.5483333,100.2733333
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,"หน้ากากอนามัยกันฝุ่น แท้จาก 3m มี3 รุ่น 9010,9005 และ 9001v",3500,https://www.kaidee.com/product-344847882,กรุงเทพมหานคร,พญาไท,13.78,100.5427778
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หน้ากากอนามัยกันฝุ่นpm 2.5,55,https://www.kaidee.com/product-344797293,สมุทรปราการ,พระสมุทรเจดีย์,13.5686111,100.5616667
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,ผ้าห่มสุขภาพ ไหมจีนแท้ ของใหม่,15500,https://www.kaidee.com/product-344847850,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หน้ากากกันฝุ่น,100,https://www.kaidee.com/product-344847754,กรุงเทพมหานคร,หลักสี่,13.8875,100.5788889
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,ผ้าปิดจมูกป้องกันควันพิษ 3m8210 (20ชิ้น),890,https://www.kaidee.com/product-344796842,กรุงเทพมหานคร,คลองเตย,13.7158569,100.5689948
อุปกรณ์เกี่ยวกับสุขภาพ,3,1,หน้ากากปิดจมูก 3m รองรับ pm  2.5,50,https://www.kaidee.com/product-344796924,กรุงเทพมหานคร,พญาไท,13.78,100.5427778
อุปกรณ์เกี่ยวกับสุขภาพ,3,2, ด่วน ขาย.ตู้อบสมุนไพรเพื่อสุขภาพ,17000,https://www.kaidee.com/product-344474043,ชลบุรี,ศรีราชา,13.174,100.93
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,วีลแชร์สแตนเลส matsunaga japan ,2500,https://www.kaidee.com/product-344833978,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เก้าอี้นั่งเลื่อนขึ้นบันได,60000,https://www.kaidee.com/product-344829000,กรุงเทพมหานคร,พญาไท,13.78,100.5427778
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เบาะกันแผลกดทับ,1500,https://www.kaidee.com/product-341915829,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,น้ำปลิงกาหมาด,300,https://www.kaidee.com/product-344827465,สงขลา,หาดใหญ่,7.0019444,100.4572222
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,ขายเครื่องกรองน้ำ amway รุ่น espring ของแท้  มือ2,19500,https://www.kaidee.com/product-344776484,อุดรธานี,บ้านผือ,17.6875,102.4727778
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เครื่องออกกำลังขาและเข่าจากญี่ป่น,1500,https://www.kaidee.com/product-344826831,นนทบุรี,บางใหญ่,13.8766667,100.4038889
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เครื่องนวดไฟฟ้า,2200,https://www.kaidee.com/product-343464674,กรุงเทพมหานคร,บางกะปิ,13.7658333,100.6477778
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,สายรัดข้อมือ inbody amway,1250,https://www.kaidee.com/product-344825758,นครพนม,นาหว้า,17.4894444,104.1013889
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เครื่องออกกำลังกายair walkerและแทรมโพลีน,2800,https://www.kaidee.com/product-344823882,นนทบุรี,เมืองนนทบุรี,13.8615454,100.5137834
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,เครื่องนวดคอและหลังไฟฟ้า,4900,https://www.kaidee.com/product-344772343,กรุงเทพมหานคร,บางกะปิ,13.7658333,100.6477778
อุปกรณ์เกี่ยวกับสุขภาพ,3,2,omron เครื่องชั่งมวลร่างกาย ,1890,https://www.kaidee.com/product-344822724,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,11.8083333,99.7966667
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากาก3m 9501v,69,https://www.kaidee.com/product-344847367,กรุงเทพมหานคร,สัมพันธวงศ์,13.7313889,100.5141667
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากาก n95 ,19,https://www.kaidee.com/product-344847290,กรุงเทพมหานคร,สัมพันธวงศ์,13.7313889,100.5141667
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากอนามัยกันฝุ่น pm 2.5,750,https://www.kaidee.com/product-344847294,กรุงเทพมหานคร,จอมทอง,13.6772222,100.4847222
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากอนามัย ป้องกันฝุ่นละออง pm2.5,150,https://www.kaidee.com/product-344847133,กรุงเทพมหานคร,บึงกุ่ม,13.7852778,100.6691667
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,ตลับใส่ยาเ7วัน,39,https://www.kaidee.com/product-344846931,สุราษฎร์ธานี,เวียงสระ,8.6297222,99.3430556
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,qsenior ราวจับพยุงตัว (ขนาด s-chrome) กันลื่น ห้องน้ำ สำหรับโถสุขภัณฑ์นั่งราบ แบบโครง ชักโครก,1520,https://www.kaidee.com/product-343282255,กรุงเทพมหานคร,บางนา,13.6672222,100.6419444
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากอนามัย n95,270,https://www.kaidee.com/product-344795462,กรุงเทพมหานคร,วังทองหลาง,13.78584005,100.612884974
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากอนามัย,35,https://www.kaidee.com/product-344846243,สมุทรสาคร,กระทุ่มแบน,13.6558333,100.2677778
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากรองฝุ่น pm 2.5,750,https://www.kaidee.com/product-344846126,กรุงเทพมหานคร,คลองเตย,13.7158569,100.5689948
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากอนามัยสีดำ,190,https://www.kaidee.com/product-344846073,นครราชสีมา,ปากช่อง,14.7125,101.4219444
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หน้ากากกันฝุ่นn95 honeywell รุ่นh901 (เซ็ท 3ชิ้น),100,https://www.kaidee.com/product-344845948,เชียงใหม่,สันทราย,18.8486111,99.045
อุปกรณ์เกี่ยวกับสุขภาพ,4,1,หมอนหนุนยางพาราแท้ 100 เปอร์เซ็นต์,890,https://www.kaidee.com/product-344459775,สมุทรปราการ,บางพลี,13.6058333,100.7061111
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องออกกำลังกาย,990,https://www.kaidee.com/product-344822762,ปราจีนบุรี,กบินทร์บุรี,13.9238466,101.6834452
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องออกกำลังกายเสริมอ๊อกซิเจนกระดูกสันหลัง,990,https://www.kaidee.com/product-343137362,กรุงเทพมหานคร,ดินแดง,13.7697222,100.5527778
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เข็มขัดกระชับสัดส่วน 500ค่ะ,500,https://www.kaidee.com/product-344771062,กรุงเทพมหานคร,ประเวศ,13.7169444,100.6944444
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครืองปั่นจักรยาน​ เพื่อสูขภาพ,2500,https://www.kaidee.com/product-344820070,สงขลา,นาทวี,6.7416667,100.6916667
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องนวดดิจิตอลสไมล์แท้,1900,https://www.kaidee.com/product-344819589,สมุทรปราการ,เมืองสมุทรปราการ,13.5699534,100.6421799
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องกรองอากาศ amway,18000,https://www.kaidee.com/product-344819446,ระยอง,เมืองระยอง,12.6683333,101.275
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,ขายคาร์ซิทที่นั่งเด็ก,1499,https://www.kaidee.com/product-344818724,นนทบุรี,เมืองนนทบุรี,13.8622222,100.5133333
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องนวดไฟฟ้า mix's aq-88 ,5500,https://www.kaidee.com/product-344767054,กรุงเทพมหานคร,บางพลัด,13.7938889,100.505
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องออกกำลังกาย ระบบสั่น,2500,https://www.kaidee.com/product-344816851,สงขลา,หาดใหญ่,7.0019444,100.4572222
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องนวดอินฟาเรด,790,https://www.kaidee.com/product-344816580,ชลบุรี,เมืองชลบุรี,13.3619444,100.9791667
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,สมาชิก we fitness แคราย,1200,https://www.kaidee.com/product-344816031,นนทบุรี,เมืองนนทบุรี,13.8622222,100.5133333
อุปกรณ์เกี่ยวกับสุขภาพ,4,2,เครื่องวัดความดัน omron รุ่น jpn-1 สภาพใหม่,2500,https://www.kaidee.com/product-344813034,ปทุมธานี,ลำลูกกา,13.9325,100.7494444
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากป้องกันขณะช่วยหายใจ (พร้อมกล่องพลาสติก),490,https://www.kaidee.com/product-344844957,กรุงเทพมหานคร,บางรัก,13.7308333,100.5241667
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากอนามัยป้องกันฝุ่นpm2.5 นำเข้าจากญี่ปุ่น แพค7ชิ้น,129,https://www.kaidee.com/product-344844891,กรุงเทพมหานคร,พระนคร,13.7644444,100.4991667
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากป้องกันฝุ่นระดับn95  3m pm2.5,65,https://www.kaidee.com/product-344844809,กรุงเทพมหานคร,บางกอกน้อย,13.7659225,100.4677576
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,pm 2.5 หน้ากากอนามัยกันฝุ่น พร้อมตัวกรอง แพค3ชิ้น,99,https://www.kaidee.com/product-344844821,กรุงเทพมหานคร,พระนคร,13.7644444,100.4991667
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,รุ่นยอดนิยม 3m 8210 หน้ากากกันฝุ่น หน้ากากpm2.5 หน้ากากกันฝุ่น n95 หน้ากากอนามัย,65,https://www.kaidee.com/product-344844712,กรุงเทพมหานคร,ธนบุรี,13.725,100.4858333
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากอนามัย n95 ,850,https://www.kaidee.com/product-344697307,ปทุมธานี,เมืองปทุมธานี,14.0197222,100.535
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากอนามัยกันฝุ่น pm2.5จากญี่ปุ่น1แพ็ค144ชิ้น,340,https://www.kaidee.com/product-344793137,กรุงเทพมหานคร,สายไหม,13.9008718,100.6534443
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากป้องกันฝุ่น,200,https://www.kaidee.com/product-344843996,สมุทรปราการ,บางพลี,13.6058333,100.7061111
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากาก n95 ยี่ห้อ 3m รุ่น 8210,50,https://www.kaidee.com/product-344843316,ชลบุรี,เมืองชลบุรี,13.3619444,100.9791667
